Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J061030.89+032858.7	371504217	92.6278325	3.48297389	195.65	A1	Renson & Manfroid (2009)
J061143.58+025133.3	371504232	92.93161	2.8592644	61.89	A7	Hümmerich et al. (2020)
J061245.79+021300.8	371508005	93.1908169	2.2169075	168.59	A5	Shang et al. (2022)
J061234.25+012448.4	371508201	93.1427308	1.41346	107.44	A1	Shang et al. (2022)
J061312.69+013350.3	371508211	93.3029056	1.5639989	69.64	A1	Hümmerich et al. (2020)
J061114.05+035146.8	371509119	92.80766833	3.86293694	217.3	A2	Renson & Manfroid (2009)
J061455.58+032317.5	371509180	93.7315953	3.3882017	101.2	A1	Hümmerich et al. (2020)
J060815.12+045107.6	371511025	92.0630094	4.8521308	135.59	A1	Hümmerich et al. (2020)
J060820.73+051313.4	371511132	92.0863847	5.2204033	82.18	A1	Shi et al. (2023)
J061329.24+041213.9	371512094	93.3718358	4.2038817	122.65	A1	Hümmerich et al. (2020)
J061434.73+050332.4	371512232	93.6447106	5.0590061	90.8	A5	Hümmerich et al. (2020)
J060859.34+034727.4	371515012	92.24800833	3.79124056	305.22	A1	Renson & Manfroid (2009)
J061043.41+035650.9	371515143	92.6808883	3.9474925	145.61	A1	Shang et al. (2022)
J060940.01+035028.3	371515150	92.4167303	3.8412008	61.73	A2	Hümmerich et al. (2020)
J060648.82+045534.5	371516146	91.7034261	4.926265	151.19	A2	Shang et al. (2022)
J212808.78+062305.9	372501095	322.036597	6.384978	81.05	A1	Shang et al. (2022)
J065534.96+135953.3	372802234	103.89568	13.99814	86.07	A1	Shi et al. (2023)
J070604.68+145303.0	372806249	106.51954	14.884169	120.59	A7	Hümmerich et al. (2020)
J070522.45+132745.7	372807234	106.34358	13.462702	91.12	A7	Shang et al. (2022)
J070008.36+165208.0	372815049	105.03484	16.868889	53.04	A1	Shi et al. (2023)
J065551.61+174248.1	372816239	103.96508	17.713376	75.17	A5	Faltová et al. (2021)
J205437.48+362805.1	373004062	313.6562014	36.4681028	79.55	A1	Shang et al. (2022)
J204745.26+352234.0	373005185	311.9386242	35.3761375	61.2	A1	Shang et al. (2022)
J205820.49+340411.3	373007236	314.585393	34.069826	101.46	A2	Hümmerich et al. (2020)
J205711.99+362112.8	373009009	314.299981	36.353559	165.15	A2	Hümmerich et al. (2020)
J210017.28+361548.8	373009234	315.0720028	36.26357	85.51	A1	Yang et al. (2024)
J204414.50+350259.6	373010036	311.0604378	35.0499058	74.21	A1	Shang et al. (2022)
J204152.76+354149.4	373010113	310.469851	35.697083	65.24	A1	Shang et al. (2022)
